"","(Intercept)","brlen.median","brlen.ratio","brlen.var","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","turnover","df","logLik","AICc","delta","weight"
"57",5.71960905726357,NA,NA,NA,-8.93492862752809,8.16172319117963e-05,-6.39717669644681e-05,NA,NA,NA,NA,NA,NA,NA,5,-14788.7856728984,29587.577349399,6865.97777709076,0
"264",4.90638002616475,0.0320274081379026,1.0964620956657e-08,6.50571119261072e-09,NA,NA,NA,NA,NA,-0.882490368449566,NA,NA,NA,NA,6,-14788.3962228593,29588.8008516027,6867.20127929448,0
"26",5.62156830088184,0.00276063207077707,NA,NA,-7.89976398300415,1.74562694523408e-05,NA,NA,NA,NA,NA,NA,NA,NA,5,-14789.501198079,29589.0083997602,6867.40882745193,0
"83",5.10266173490422,NA,4.32110033659684e-09,NA,NA,1.77778863457697e-05,NA,0.000155716873159131,NA,NA,NA,NA,NA,NA,5,-14790.1821708952,29590.3703453926,6868.77077308431,0
"25",5.7238924387063,NA,NA,NA,-8.98453574424737,1.76713246569833e-05,NA,NA,NA,NA,NA,NA,NA,NA,4,-14791.5495984593,29591.1031989196,6869.50362661134,0
"42",5.62174780695409,0.00280386462749151,NA,NA,-7.90353804303995,NA,1.74210965024051e-05,NA,NA,NA,NA,NA,NA,NA,5,-14791.1724136982,29592.3508309986,6870.75125869032,0
"41",5.7257043141935,NA,NA,NA,-9.0056475391379,NA,1.76386374792636e-05,NA,NA,NA,NA,NA,NA,NA,4,-14793.2853074586,29594.5746169182,6872.97504460993,0
"52",4.96197962445962,0.0161357046099692,1.01651030237561e-08,NA,NA,-7.44411966495345e-05,9.10019773213239e-05,NA,NA,NA,NA,NA,NA,NA,6,-14792.4138521878,29596.8361102597,6875.23653795139,0
"36",4.96286573391317,0.0159761885738983,9.18682558326788e-09,NA,NA,NA,1.6676213272693e-05,NA,NA,NA,NA,NA,NA,NA,5,-14795.3949471596,29600.7958979214,6879.19632561311,0
"97",5.09802989297568,NA,NA,NA,NA,NA,1.80793693776484e-05,0.000169227276485429,NA,NA,NA,NA,NA,NA,4,-14797.0949647759,29602.1939315529,6880.59435924463,0
"20",4.96301021644143,0.015956391643838,8.97412924469862e-09,NA,NA,1.66648552365058e-05,NA,NA,NA,NA,NA,NA,NA,NA,5,-14796.8802420179,29603.766487638,6882.1669153297,0
"4293",5.45699469900945,NA,NA,8.22330659529224e-09,NA,NA,NA,0.000247059440797535,-1.39113525657244,NA,NA,NA,NA,-0.0220465728091792,6,-14797.2890029384,29606.586411761,6884.98683945271,0
"81",5.09945320074614,NA,NA,NA,NA,1.80023589127976e-05,NA,0.000166588605102088,NA,NA,NA,NA,NA,NA,4,-14803.8045935236,29615.6131890482,6894.01361673995,0
"4545",5.46506978524848,NA,NA,NA,NA,NA,NA,0.000249477737220856,-1.92948443001796,0.358583505263231,NA,NA,NA,-0.0232301009379789,6,-14807.5081331494,29627.0246721829,6905.42509987462,0
"4387",5.46356575950607,NA,8.86445775348845e-09,NA,NA,NA,2.11325734036451e-05,NA,NA,-0.245797412369833,NA,NA,NA,-0.0243063100032385,6,-14809.299442032,29630.6072899481,6909.00771763983,0
"4371",5.46351292306685,NA,8.58817659593215e-09,NA,NA,2.11452480936142e-05,NA,NA,NA,-0.246548043283744,NA,NA,NA,-0.0243211457254602,6,-14809.6434237704,29631.295253425,6909.6956811167,0
"260",4.90315359908017,0.0326141159286123,1.12703902837387e-08,NA,NA,NA,NA,NA,NA,-0.890509982868704,NA,NA,NA,NA,5,-14813.1866770982,29636.3793577986,6914.77978549034,0
"4291",5.45947690269022,NA,4.74770553296022e-09,NA,NA,NA,NA,0.000239653563176123,-1.3738297128078,NA,NA,NA,NA,-0.0218592225198744,6,-14820.6183643809,29653.245134646,6931.64556233775,0
"270",5.52032804585555,0.0200362116210382,NA,7.18884682267173e-09,-7.35877406223962,NA,NA,NA,NA,-0.876427865760299,NA,NA,NA,NA,6,-14823.2135472044,29658.435500293,6936.83592798472,0
"271",6.2086190154315,NA,1.08569210050793e-08,7.26025594992583e-09,-14.6510068630287,NA,NA,NA,NA,-0.717697411404916,NA,NA,NA,NA,6,-14829.7339318173,29671.4762695188,6949.87669721051,0
"4289",5.4596544777925,NA,NA,NA,NA,NA,NA,0.000252709226425028,-1.39090347822546,NA,NA,NA,NA,-0.0220558558006771,5,-14836.9906961696,29683.9873959413,6962.38782363302,0
"4131",5.47177535738009,NA,8.97771579494606e-09,NA,NA,NA,2.10320345190874e-05,NA,NA,NA,NA,NA,NA,-0.0275193801960613,5,-14839.5539098883,29689.1138233788,6967.51425107058,0
"4115",5.47175867900492,NA,8.70370605668208e-09,NA,NA,2.10412978322282e-05,NA,NA,NA,NA,NA,NA,NA,-0.0275436189380876,5,-14840.0794067148,29690.1648170317,6968.56524472345,0
"4147",5.47181252297992,NA,9.14522410747769e-09,NA,NA,-1.27550573293816e-05,3.37739569155294e-05,NA,NA,NA,NA,NA,NA,-0.0275039751315921,6,-14839.4666589472,29690.9417237785,6969.34215147026,0
"266",5.51768921169061,0.0206858475419535,NA,NA,-7.36866760931452,NA,NA,NA,NA,-0.885774265094131,NA,NA,NA,NA,5,-14853.3481349037,29716.7022734095,6995.10270110124,0
"50",4.96802162653341,0.0157478865495461,NA,NA,NA,8.1933479841922e-05,-6.43077800365844e-05,NA,NA,NA,NA,NA,NA,NA,5,-14857.0829111757,29724.1718259536,7002.57225364535,0
"18",4.9677365973443,0.0158661360787279,NA,NA,NA,1.76439789338006e-05,NA,NA,NA,NA,NA,NA,NA,NA,4,-14859.8354056878,29727.6748133766,7006.07524106834,0
"4401",5.46710380204766,NA,NA,NA,NA,0.000132246570460619,-0.0001102616096851,NA,NA,-0.255704246306368,NA,NA,NA,-0.024445385049853,6,-14859.0572152185,29730.122836321,7008.52326401277,0
