"","(Intercept)","age","brlen.median","brlen.ratio","brlen.var","frac","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","df","logLik","AICc","delta","weight"
"5169",6.32183955662381,NA,NA,NA,NA,2.28206843581376,-18.4773493797143,NA,NA,NA,NA,-0.125108724211799,NA,32.0032051660157,NA,6,-39741.9547637347,79495.9137289399,7084.8651733872,0
"563",5.35007570165548,NA,0.0240974500393228,NA,NA,2.66238467792522,4.52936520499928,NA,NA,NA,-0.516718408437403,NA,NA,NA,NA,6,-39745.9740398789,79503.9522812283,7092.90372567563,0
"157",5.70269675219622,NA,NA,3.35487972045395e-07,-2.55492339903924e-05,2.1594228226492,NA,NA,0.00299228453928096,NA,NA,NA,NA,NA,NA,6,-39750.3626773705,79512.7295562115,7101.68100065882,0
"4869",6.61670293565175,NA,NA,3.46174285623829e-07,NA,NA,NA,NA,NA,0.00238069746834574,-0.467350706236684,NA,NA,19.9031537861216,NA,6,-39751.9101836015,79515.8245686735,7104.77601312082,0
"4649",7.70643110151429,NA,NA,NA,9.49281845681988e-06,NA,-19.0102087113668,NA,NA,NA,-0.496805920695447,NA,NA,31.4488464498705,NA,6,-39764.6699433134,79541.3440880974,7130.29553254465,0
"5139",4.88025065971278,NA,0.0198988459732293,NA,NA,2.70737515527395,NA,NA,NA,NA,NA,-0.143754136225303,NA,23.6547505171229,NA,6,-39767.9771930906,79547.9585876516,7136.91003209892,0
"531",5.71884334211339,NA,0.0206606024576974,NA,NA,2.59365832146342,NA,NA,NA,NA,-0.520322720942747,NA,NA,NA,NA,5,-39773.1358386983,79556.2746782968,7145.2261227441,0
"217",5.66720543690956,NA,NA,NA,-2.64124852855242e-05,2.18680777888064,NA,0.000974204920102903,0.0020604414932404,NA,NA,NA,NA,NA,NA,6,-39775.6925819339,79563.3893653384,7152.34080978569,0
"1561",6.28154324200977,NA,NA,NA,1.09909893856479e-05,2.0779017843984,NA,NA,NA,NA,-0.647944875116163,0.173723443187314,NA,NA,NA,6,-39782.1130908932,79576.2303832568,7165.18182770412,0
"4873",6.62750954894485,NA,NA,NA,1.90019190806194e-06,NA,NA,NA,NA,0.00224423534528385,-0.467270357180478,NA,NA,20.01735036492,NA,6,-39786.5051340397,79585.01446955,7173.96591399726,0
"153",5.70203885971143,NA,NA,NA,-2.55007602780085e-05,2.16252601741134,NA,NA,0.00300193233323558,NA,NA,NA,NA,NA,NA,5,-39787.9249191799,79585.85283926,7174.8042837073,0
"4867",6.64909533921027,NA,-0.00264847468629788,NA,NA,NA,NA,NA,NA,0.00255694421541863,-0.456466966816961,NA,NA,19.6179670003366,NA,6,-39787.4503178155,79586.9048371014,7175.85628154872,0
"154",5.70366920996285,1.4576695709303e-05,NA,NA,-2.54169220463591e-05,2.15995682118913,NA,NA,0.00296468452025878,NA,NA,NA,NA,NA,NA,6,-39787.7890098599,79587.5822211903,7176.53366563756,0
"93",5.62582555616271,NA,NA,3.42440754302794e-07,-2.53880768362964e-05,2.23969212799277,NA,0.00284660597136241,NA,NA,NA,NA,NA,NA,NA,6,-39788.2524091937,79588.5090198579,7177.4604643052,0
"4865",6.61647886153889,NA,NA,NA,NA,NA,NA,NA,NA,0.00239068383421096,-0.468423071682361,NA,NA,19.9856263021153,NA,5,-39791.9442909553,79593.8915828108,7182.84302725812,0
"4153",5.9429121390159,NA,NA,NA,8.49040159649459e-06,2.30389739871327,-13.2525542475016,NA,NA,NA,NA,NA,NA,29.8168141987047,NA,6,-39792.0839157014,79596.1720328734,7185.12347732067,0
"5665",7.80421542330695,NA,NA,NA,NA,NA,-20.5023205818225,NA,NA,NA,-0.709157769974955,0.162554538160219,NA,31.6405038819706,NA,6,-39811.2682702349,79634.5407419403,7223.49218638758,0
"90",5.63347831370692,4.52103673574263e-05,NA,NA,-2.50343400833494e-05,2.23210550141403,NA,0.00274199302777257,NA,NA,NA,NA,NA,NA,NA,6,-39825.9287096359,79663.8616207423,7252.81306518962,0
"89",5.62519369343527,NA,NA,NA,-2.53115809982036e-05,2.24315143361737,NA,0.00285381574773829,NA,NA,NA,NA,NA,NA,NA,5,-39827.2412036394,79664.4854081791,7253.43685262643,0
"345",5.62101061184782,NA,NA,NA,-2.51987045371461e-05,2.24729830437652,NA,0.00282495734485068,NA,5.12820528611631e-05,NA,NA,NA,NA,NA,6,-39827.0916825395,79666.1875665495,7255.13901099685,0
"1666",7.21858959324592,0.000274606836018157,NA,NA,NA,NA,NA,NA,0.000935670352380813,NA,-0.712087498521944,0.170942900646733,NA,NA,NA,6,-39850.8166019104,79713.6374052913,7302.58884973857,0
